,Cell Type 1,Cell Type 2,num_interactions
0,Lamp5-MET-1,Lamp5-MET-1,16521
1,Lamp5-MET-1,Lamp5-MET-1,16521
2,Lamp5-MET-1,Pvalb-MET-1,16
3,Pvalb-MET-1,Lamp5-MET-1,16
4,Lamp5-MET-1,Pvalb-MET-2,797
5,Pvalb-MET-2,Lamp5-MET-1,797
6,Lamp5-MET-1,Pvalb-MET-3,693
7,Pvalb-MET-3,Lamp5-MET-1,693
8,Lamp5-MET-1,Pvalb-MET-4,29136
9,Pvalb-MET-4,Lamp5-MET-1,29136
10,Lamp5-MET-1,Sncg-MET-1,650
11,Sncg-MET-1,Lamp5-MET-1,650
12,Lamp5-MET-1,Sst-MET-1,380
13,Sst-MET-1,Lamp5-MET-1,380
14,Lamp5-MET-1,Sst-MET-10,1224
15,Sst-MET-10,Lamp5-MET-1,1224
16,Lamp5-MET-1,Sst-MET-12,2752
17,Sst-MET-12,Lamp5-MET-1,2752
18,Lamp5-MET-1,Sst-MET-3,16904
19,Sst-MET-3,Lamp5-MET-1,16904
20,Lamp5-MET-1,Sst-MET-4,1088
21,Sst-MET-4,Lamp5-MET-1,1088
22,Lamp5-MET-1,Sst-MET-5,239
23,Sst-MET-5,Lamp5-MET-1,239
24,Lamp5-MET-1,Sst-MET-6,1647
25,Sst-MET-6,Lamp5-MET-1,1647
26,Lamp5-MET-1,Sst-MET-7,317
27,Sst-MET-7,Lamp5-MET-1,317
28,Lamp5-MET-1,Sst-MET-8,7462
29,Sst-MET-8,Lamp5-MET-1,7462
30,Lamp5-MET-1,Sst-MET-9,1564
31,Sst-MET-9,Lamp5-MET-1,1564
32,Lamp5-MET-1,Vip-MET-1,5510
33,Vip-MET-1,Lamp5-MET-1,5510
34,Lamp5-MET-1,Vip-MET-2,6418
35,Vip-MET-2,Lamp5-MET-1,6418
36,Lamp5-MET-1,Vip-MET-4,3368
37,Vip-MET-4,Lamp5-MET-1,3368
38,Lamp5-MET-1,Vip-MET-5,5242
39,Vip-MET-5,Lamp5-MET-1,5242
40,Pvalb-MET-1,Pvalb-MET-2,87
41,Pvalb-MET-2,Pvalb-MET-1,87
